item_code;item_name;cbm
SJ-236MG-GB;REFRIFERATOR LOCAL 2 DOOR;0.558
SJ-236MG-GR;REFRIGERATOR LOCAL 2 DOOR;0.547
SJ-236MN-HS;REFRIGERATOR LOCAL 2;0.543
SJ-237MG-DB;2 DOOR REFRIGERATOR;0.551
SJ-237MG-DP;2 DOOR REFRIGERATOR;0.551
SJ-237ND-AB;REFRIGERATOR LOCAL 2;0.555
SJ-237ND-AP;REFRIGERATOR LOCAL 2;0.555
SJ-246SI-GK;REFRIGERATOR LOCAL 2 DOOR;0.603
SJ-246XG-MR;REFRIGERATOR LOCAL 2 DOOR;0.579
SJ-246XG-MS;REFRIGERATOR LOCAL 2 DOOR;0.579
SJ-246XI-MK;REFRIGERATOR LOCAL 2 DOOR;0.575
SJ-316MG-GB;REFRIFERATOR LOCAL 2 DOOR;0.647
SJ-316MG-GR;REFRIGERATOR LOCAL 2 DOOR;0.647
SJ-316MN-HS;REFRIGERATOR LOKAL 2;0.645
SJ-317MG-DB;2 DOOR REFRIGERATOR;0.644
SJ-317MG-DP;2 DOOR REFRIGERATOR;0.644
SJ-326SI-GK;REFRIGERATOR LOCAL 2 DOOR;0.717
SJ-326XG-MR;REFRIGERATOR LOCAL 2 DOOR;0.673
SJ-326XG-MS;REFRIGERATOR LOCAL 2 DOOR ;0.673
SJ-326XI-MK;REFRIGERATOR LOCAL 2 DOOR;0.679
SJ-356SI-DS;REFRIGERATOR LOCAL 2 DOOR;0.778
SJ-386SI-DS;REFRIGERATOR LOCAL 2 DOOR;0.841
SJ-420GP-SD;REFRIGERATOR LOCAL 2 DOOR ;0.758
SJ-426GI-GW;REFRIGERATOR LOCAL 2 DOOR ;0.868
SJ-426GI-MK;REFRIGERATOR LOCAL 2 DOOR;0.881
SJ-426GI-MS;REFRIGERATOR LOCAL 2 DOOR;0.881
SJ-426SI-GK;REFRIGERATOR LOCAL 2 DOOR;0.838
SJ-450GP-SD;REFRIGERATOR LOCAL 2 DOOR;0.789
SJ-456GI-GW;REFRIGERATOR LOCAL 2;0.913
SJ-456GI-MK;REFRIGERATOR LOCAL 2 DOOR;0.907
SJ-456GI-MS;REFRIGERATOR LOCAL 2 DOOR;0.92
SJ-456SI-GK;REFRIGERATOR LOCAL 2 DOOR;0.682
SJ-50MB-XB;MINI BAR REFRIGERATOR;0.122
SJ-50MB-XW;MINI BAR REFRIGERATOR;0.122
SJ-IF50PMA-DS;MINI BAR REFRIGERATOR;1.174
SJ-IF50PM-DS;4 DOOR REFRIGERATOR;1.187
SJ-IF51PG-BK;4 DOOR REFRIGERATOR;1.187
SJ-IF51PG-CG;4 DOOR REFRIGERATOR;1.187
SJ-IF61PG-BK;4 DOOR REFRIGERATOR;1.187
SJ-IF90PM-DS;4 DOOR REFRIGERATOR;1.551
SJ-IFX94PG-CG;4 DOOR REFRIGERATOR;1.739
SJ-IG571PG-BK;4 DOOR REFRIGERATOR IMPORT;0.936
SJ-IS50MA-SL;REFRIGERATOR SIDE BY;1.149
SJ-IS61GA-BK;REFRIGERATOR SIDE BY;1.3
SJ-IS70PMA-DS;REFRIGERATOR SIDE BY;1.382
SJ-IS71PGA-BK;REFRIGERATOR SIDE BY;1.382
SJ-IT620PM-DS;REFRIGERATOR SIDE BY;1.003
SJ-IT660PM-DS;REFRIGERATOR SIDE BY;1.066
SJ-N162D-AB;REFRIGERATOR LOCAL 1;0.365
SJ-N162D-AP;REFRIGERATOR LOCAL 1;0.365
SJ-N162D-SB;REFRIGERATOR LOCAL 1;0.365
SJ-N162D-SH;REFRIGERATOR LOCAL 1;0.365
SJ-N162D-SP;REFRIGERATOR LOCAL 1;0.365
SJ-N162D-VB;REFRIGERATOR LOCAL 1;0.365
